Symbol,Trade number,Type,Date and time,Order ID,Signal,Price,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
VANTAGE:NAS100,116,Entry long,"Aug 20, 2026, 13:54",3426747452,3426747452,29480.91,300,8844273,-1680,-0.02,0,,,,,118848.1,118.85,
VANTAGE:NAS100,117,Exit short,"Aug 20, 2026, 14:21",3426768618,3426768618,29400.63,300,8836083,15894,0.18,0,,,,,134742.1,134.74,
VANTAGE:NAS100,117,Entry short,"Aug 20, 2026, 14:01",3426767636,3426767636,29453.61,300,8836083,15894,0.18,0,,,,,134742.1,134.74,
VANTAGE:NAS100,118,Exit short,"Aug 20, 2026, 16:53",3427551346,3427551346,29247.159999999996,20,587487.2,2544,0.43,0,,,,,137286.1,137.29,
VANTAGE:NAS100,118,Entry short,"Aug 20, 2026, 16:39",3427542028,3427542028,29374.36,20,587487.2,2544,0.43,0,,,,,137286.1,137.29,
VANTAGE:NAS100,119,Exit short,"Aug 20, 2026, 18:01",3428297053,3428297053,29379.909999999996,40,1173379.4,-1817,-0.15,0,,,,,135469.1,135.47,
VANTAGE:NAS100,119,Entry short,"Aug 20, 2026, 18:00",3428294450,3428294450,29334.484999999997,40,1173379.4,-1817,-0.15,0,,,,,135469.1,135.47,
VANTAGE:NAS100,120,Exit short,"Aug 20, 2026, 18:29",3428313327,3428313327,29274.076666666664,60,1762131.5999999999,5687,0.32,0,,,,,141156.1,141.16,
VANTAGE:NAS100,120,Entry short,"Aug 20, 2026, 18:02",3428311056,3428311056,29368.859999999997,60,1762131.5999999999,5687,0.32,0,,,,,141156.1,141.16,
VANTAGE:NAS100,121,Exit long,"Aug 20, 2026, 21:10",3429357286,3429357286,29154.359999999997,80,2333572.8,-1224,-0.05,0,,,,,139932.1,139.93,
VANTAGE:NAS100,121,Entry long,"Aug 20, 2026, 21:07",3429355179,3429355179,29169.659999999996,80,2333572.8,-1224,-0.05,0,,,,,139932.1,139.93,
VANTAGE:NAS100,122,Exit long,"Aug 21, 2026, 05:22",3429387215,3429387215,29277.232000000004,200,5831177.000000001,24269.4,0.42,0,,,,,164201.5,164.2,
VANTAGE:NAS100,122,Entry long,"Aug 20, 2026, 21:13",3429385097,3429385097,29155.885000000006,200,5831177.000000001,24269.4,0.42,0,,,,,164201.5,164.2,
VANTAGE:NAS100,123,Exit short,"Aug 21, 2026, 15:45",3432535497,3432535497,29466.75,400,11779505,-7195,-0.06,0,,,,,157006.5,157.01,
VANTAGE:NAS100,123,Entry short,"Aug 21, 2026, 15:28",3432534791,3432534791,29448.7625,400,11779505,-7195,-0.06,0,,,,,157006.5,157.01,
VANTAGE:NAS100,124,Exit short,"Aug 21, 2026, 16:32",3432623895,3432623895,29366.5,400,11785689.6,39089.6,0.33,0,,,,,196096.1,196.1,
VANTAGE:NAS100,124,Entry short,"Aug 21, 2026, 15:47",3432617826,3432617826,29464.224,400,11785689.6,39089.6,0.33,0,,,,,196096.1,196.1,
VANTAGE:NAS100,125,Exit long,"Aug 21, 2026, 16:53",3433021469,3433021469,29214.2,80,2340145,-3009,-0.13,0,,,,,193087.1,193.09,
VANTAGE:NAS100,125,Entry long,"Aug 21, 2026, 16:50",3433019617,3433019617,29251.8125,80,2340145,-3009,-0.13,0,,,,,193087.1,193.09,
VANTAGE:NAS100,126,Exit long,"Aug 21, 2026, 17:14",3433063092,3433063092,29189.7,80,2337300,-2124,-0.09,0,,,,,190963.1,190.96,
VANTAGE:NAS100,126,Entry long,"Aug 21, 2026, 16:54",3433057958,3433057958,29216.25,80,2337300,-2124,-0.09,0,,,,,190963.1,190.96,
VANTAGE:NAS100,127,Exit long,"Aug 21, 2026, 17:19",3433262641,3433262641,29174.45,100,2920150,-2705,-0.09,0,,,,,188258.1,188.26,
VANTAGE:NAS100,127,Entry long,"Aug 21, 2026, 17:16",3433259558,3433259558,29201.5,100,2920150,-2705,-0.09,0,,,,,188258.1,188.26,
VANTAGE:NAS100,128,Exit long,"Aug 21, 2026, 19:58",3433409758,3433409758,29344.2,100,2922150,12270,0.42,0,,,,,200528.1,200.53,
VANTAGE:NAS100,128,Entry long,"Aug 21, 2026, 17:29",3433370486,3433370486,29221.5,100,2922150,12270,0.42,0,,,,,200528.1,200.53,
VANTAGE:NAS100,129,Exit long,"Aug 24, 2026, 02:26",3439157895,3439157895,29370,20,585222,2178,0.37,0,,,,,202706.1,202.71,
VANTAGE:NAS100,129,Entry long,"Aug 24, 2026, 01:06",3439157413,3439157413,29261.1,20,585222,2178,0.37,0,,,,,202706.1,202.71,
VANTAGE:NAS100,130,Exit long,"Aug 24, 2026, 16:30",3441905250,3441905250,29118.65,60,1748428,-1309,-0.07,0,,,,,201397.1,201.4,
VANTAGE:NAS100,130,Entry long,"Aug 24, 2026, 16:07",3441902140,3441902140,29140.466666666667,60,1748428,-1309,-0.07,0,,,,,201397.1,201.4,
VANTAGE:NAS100,131,Exit long,"Aug 24, 2026, 16:44",3442086655,3442086655,28939.15,220,6384169,-17556,-0.27,0,,,,,183841.1,183.84,
VANTAGE:NAS100,131,Entry long,"Aug 24, 2026, 16:34",3442084993,3442084993,29018.95,220,6384169,-17556,-0.27,0,,,,,183841.1,183.84,
VANTAGE:NAS100,132,Exit long,"Aug 25, 2026, 03:15",3442232314,3442232314,29017.955,840,24347265.4,27816.8,0.11,0,,,,,211657.9,211.66,
